UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",104914959,"R",136978850,"R",26058147,"R",163036997,"R",267951956,"R",17535476,"R",3691441,"R",81181209,"R",84872650,"R",81052608,"R",124851121,"R",205903729,"R",290776379,"R",12122130,"R",79278320,"R",0,"R",720371,"R",-97409768,"R",-17411077,"R",5598192,"R",0,"R",230610524,"R",38526439,"R",17270105,"R",292005260,"R",133925915,"R",0,"R",4957652,"R",167893322,"R",159650076,"R",8243246,"R",-25654323,"R",0,"R",-17411077,"R",46771888,"R",21792743,"R",867084,"R",481376,"R",0,"R",481376,"R",24780525,"R",0,"R",2911476,"R",0,"R",533162,"R",98138254,"R",3262151,"R",42599878,"R",0,"R",19730961,"R",123113,"R",0,"R",1705147,"R",353593,"R",0,"R",67774843,"R",165913097,"R",1980225,"R",0,"R",0,"R",0,"R",1980225,"R",167893322,"R",32957353,"R",22993047,"R",12837888,"R",5465581,"R",13105484,"R",6923800,"R",8533583,"R",4712740,"R",20578573,"R",9580610,"R",16309940,"R",8414784,"R",21302543,"R",12771849,"R",1313232,"R",0,"R",0,"R",0,"R",0,"R",21252863,"R",0,"R",159650076,"R",59403794,"R",21157769,"R",13841919,"R",6683481,"R",1552094,"R",57011019,1 ,"R",6113314,"R",71947000,"R",7827000,"R",12159081,"R",3194812,"R",52828823,"R",4295130,"R",2513894,"R",19323676,"R",407285,"R",123113,"R",0,"R",0,"R",26655033,"R",46509107,"R",25206564,"R",0,"R",25206564,"R",21302543,2 ,"A",,"A",
100663,"R",1817826648,"R",1718186674,"R",1613978267,"R",3332164941,"R",5149991589,"R",313741542,"R",35380749,"R",444691190,"R",480071939,"R",1127090695,"R",1869904015,"R",2996994710,"R",3477066649,"R",224814872,"R",754656266,"R",401633396,"R",366490170,"R",239071778,"R",1761851610,"R",159672375,"R",98817565,"R",2642517533,"R",1034673770,"R",71969549,"R",4007650792,"R",2289464118,"R",0,"R",0,"R",3377388898,"R",3178445241,"R",198943657,"R",1562907953,"R",0,"R",1761851610,"R",239912344,"R",399343773,"R",10967871,"R",83735698,"R",2535753,"R",81199945,"R",46959821,"R",2008319151,"R",67616490,"R",0,"R",69690353,"R",2926545501,"R",0,"R",287691735,"R",0,"R",35379696,"R",71786,"R",0,"R",46264202,"R",28815846,"R",4230465,"R",402453730,"R",3328999231,"R",0,"R",789319,"R",28104566,"R",19495782,"R",48389667,"R",3377388898,"R",297179571,"R",195970827,"R",309254195,"R",140373926,"R",182021000,"R",87006781,"R",176175511,"R",122877523,"R",44287689,"R",21589155,"R",152386829,"R",65608498,"R",29041268,"R",83899509,"R",17605090,"R",1775098900,"R",626075519,"R",0,"R",0,"R",129100769,"R",0,"R",3178445241,"R",1277107319,"R",389200694,"R",78967642,"R",147388435,"R",29755042,"R",1256026109,1 ,"R",76255000,"R",1168305000,"R",142691000,"R",185052000,"R",52845769,"R",677611841,"R",82082994,"R",116383989,"R",24495147,"R",15092977,"R",305809,"R",42562,"R",11607104,"R",60664541,"R",112208140,"R",80228711,"R",2938161,"R",83166872,"R",29041268,1 ,"R",524675419,"R",537349307
100706,"R",115007493,"R",295059693,"R",111975943,"R",407035636,"R",522043129,"R",35809718,"R",5308149,"R",85200348,"R",90508497,"R",147773906,"R",207981458,"R",355755364,"R",446263861,"R",25324831,"R",165385148,"R",12180318,"R",10020768,"R",-101322079,"R",86264155,"R",36684439,"R",0,"R",425379007,"R",106119537,"R",20630254,"R",588813237,"R",281817061,"R",3238818,"R",0,"R",250312930,"R",256549675,"R",-6236745,"R",92519407,"R",-18507,"R",86264155,"R",69513946,"R",89185692,"R",3775885,"R",1914579,"R",0,"R",1914579,"R",14474450,"R",0,"R",5650645,"R",0,"R",0,"R",184515197,"R",0,"R",52365051,"R",0,"R",9416081,"R",0,"R",0,"R",2791768,"R",186866,"R",0,"R",64759766,"R",249274963,"R",0,"R",1037967,"R",0,"R",0,"R",1037967,"R",250312930,"R",71302241,"R",43190404,"R",83802490,"R",46554063,"R",7793938,"R",3181535,"R",13098268,"R",6764037,"R",21213673,"R",7668186,"R",21887215,"R",10803293,"R",3474084,"R",17777088,"R",2379717,"R",0,"R",0,"R",0,"R",0,"R",16200678,"R",0,"R",256549675,"R",120541235,"R",43525592,"R",13396185,"R",17167013,"R",6165545,"R",55754105,1 ,"R",11580770,"R",150951000,"R",19626000,"R",26262120,"R",4619908,"R",56429447,"R",5698831,"R",9547598,"R",8893473,"R",282425,"R",82267,"R",0,"R",5389115,"R",36578703,"R",51225983,"R",45053028,"R",2698871,"R",47751899,"R",3474084,1 ,"R",79465021,"R",77250279
100724,"R",56771111,"R",263583480,"R",1262004,"R",264845484,"R",321616595,"R",26123806,"R",10399795,"R",28011480,"R",38411275,"R",203995815,"R",122311706,"R",326307521,"R",364718796,"R",17848235,"R",67898979,"R",15806724,"R",250000,"R",-118782333,"R",-34826630,"R",21200142,"R",86942823,"R",280674553,"R",25311647,"R",0,"R",414129165,"R",162289702,"Z",0,"R",11744019,"R",143365283,"R",145562439,"R",-2197156,"R",-14781240,"R",-17848234,"R",-34826630,"R",40677087,"R",14384727,"R",3546356,"R",2745725,"R",0,"R",2745725,"R",8372141,"R",0,"R",0,"R",0,"R",9366277,"R",79092313,"Z",0,"R",46919592,"Z",0,"R",16183778,"R",0,"R",0,"R",439846,"R",729754,"R",0,"R",64272970,"R",143365283,"R",0,"R",0,"R",0,"R",0,"R",0,"R",143365283,"R",39655073,"R",24610416,"R",3527160,"R",1107468,"R",5232807,"R",781540,"R",12487990,"R",4964463,"R",16109713,"R",7799685,"R",36291965,"R",8911577,"R",18929986,"R",10673529,"R",2055696,"R",0,"R",0,"R",0,"R",0,"R",2654216,"R",0,"R",145562439,"R",50230845,"R",14088420,"R",13517879,"R",11186367,"R",8685814,"R",47853114,1 ,"R",688709,"R",66769800,"R",13034000,"R",10834435,"R",1965507,"R",56260910,"R",4814235,"R",7549790,"R",15879890,"R",303888,"R",0,"R",0,"R",2746208,"R",11733035,"R",30663021,"R",7788247,"R",3944788,"R",11733035,"R",18929986,1 ,"R",99638681,"R",94536751
100733,"R",3116550,"R",12406674,"R",13241937,"R",25648611,"R",28765161,"R",5284335,"R",0,"R",3566251,"R",3566251,"R",0,"R",22816505,"R",22816505,"R",26382756,"R",3159931,"R",12406674,"R",0,"R",0,"R",-7899865,"R",4506809,"R",106750,"R",76802,"R",14846134,"R",1016260,"R",585000,"R",16630946,"R",4224272,"R",0,"R",0,"R",20458190,"R",20929410,"R",-471220,"R",4978029,"R",0,"R",4506809,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",20480700,"R",20480700,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-31484,"R",8974,"R",-22510,"R",20458190,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20458190,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18785460,"R",13277885,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",2143950,"R",0,"R",20929410,"R",13277885,"R",3714698,"R",0,"R",380015,"R",0,"R",3556812,1 ,"R",1526542,"R",16046000,"R",2412000,"R",3824000,"R",617408,"R",6770505,"R",747931,"R",1460335,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",616255540,"R",1920385864,"R",2220254054,"R",4140639918,"R",4756895458,"R",199303561,"R",42487450,"R",527472271,"R",569959721,"R",1251641581,"R",882748784,"R",2134390365,"R",2704350086,"R",95211670,"R",1210048918,"R",417325242,"R",480733622,"R",48529481,"R",2156637263,"R",169382093,"R",132666836,"R",2228157286,"R",362800375,"R",85078199,"R",2978084789,"R",867945658,"R",62858237,"R",0,"R",1207117391,"R",1151585948,"R",55531443,"R",2101105820,"R",0,"R",2156637263,"R",532541233,"R",52053640,"R",31209610,"R",7781674,"R",942937,"R",6838737,"R",201829933,"R",0,"R",12167759,"R",0,"R",66807573,"R",904391422,"R",0,"R",169733687,"R",0,"R",35293655,"R",0,"R",0,"R",29440777,"R",12791392,"R",2021988,"R",249281499,"R",1153672921,"R",0,"R",33713554,"R",19730916,"R",0,"R",53444470,"R",1207117391,"R",361807147,"R",202123969,"R",85757568,"R",27824677,"R",50794672,"R",27801703,"R",113368673,"R",48855724,"R",66981218,"R",29939132,"R",120146275,"R",50881287,"R",26259220,"R",235002287,"R",71989489,"R",0,"R",0,"R",0,"R",0,"R",91468888,"R",0,"R",1151585948,"R",459415981,"R",205678555,"R",90498494,"R",78865931,"R",37195807,"R",279931180,1 ,"R",64529757,"R",594410000,"R",63434000,"R",135243334,"R",21515249,"R",267378182,"R",29373931,"R",45477956,"R",27607846,"R",4274878,"R",879658,"R",22,"R",15247980,"R",257849558,"R",305859942,"R",273733791,"R",5866931,"R",279600722,"R",26259220,1 ,"R",845934399,"R",832842409
100760,"R",7615745,"R",21279830,"R",0,"R",21279830,"R",28895575,"R",2476968,"R",610000,"R",3063115,"R",3673115,"R",6346003,"R",19527146,"R",25873149,"R",29546264,"R",2962522,"R",14420740,"R",863057,"R",0,"R",-16420040,"R",-1136243,"R",1699274,"R",2366988,"R",32576656,"R",8702293,"R",862489,"R",46207700,"R",24927870,"R",0,"R",0,"R",18862566,"R",18039060,"R",823506,"R",-2136464,"R",176715,"R",-1136243,"R",2563985,"R",2081783,"R",1564332,"R",134743,"R",134743,"R",0,"R",0,"A",,"R",0,"A",,"R",456407,"R",6801250,"R",0,"R",8706804,"R",0,"R",3313281,"R",0,"R",0,"R",30000,"R",11231,"R",0,"R",12061316,"R",18862566,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18862566,"R",8740330,"R",4818060,"R",0,"R",0,"R",177735,"R",88006,"R",1320041,"R",611420,"R",3605430,"R",1708653,"R",2843429,"R",1264377,"R",1481747,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",-129652,"R",0,"R",18039060,"R",8490516,"R",2287441,"R",1741156,"R",1047016,"R",270474,"R",4202457,1 ,"R",956886,"R",11292000,"R",1961000,"R",1957886,"R",271809,"R",7741794,"R",1001522,"R",422168,"R",3202569,"R",72631,"R",528957,"R",0,"R",0,"R",822214,"R",4626371,"R",3144624,"R",0,"R",3144624,"R",1481747,1 ,"R",429214,"R",431560
100812,"R",20633961,"R",43863018,"R",8603203,"R",52466221,"R",73100182,"R",6280350,"R",1486802,"R",8517639,"R",10004441,"R",10754109,"R",42304977,"R",53059086,"R",63063527,"R",4129198,"R",31622107,"R",630703,"R",50000,"R",-20115003,"R",12187807,"R",2593856,"R",2383626,"R",52823502,"R",3643147,"R",362740,"R",61806871,"R",17943853,"R",0,"R",0,"R",41596149,"R",37191864,"R",4404285,"R",7783522,"R",0,"R",12187807,"R",15749519,"R",386919,"R",2712159,"Z",0,"Z",0,"Z",0,"R",325498,"Z",0,"Z",0,"Z",0,"R",0,"R",19174095,"Z",0,"R",15408009,"Z",0,"R",5660389,"Z",0,"Z",0,"R",0,"R",386286,"R",967370,"R",22422054,"R",41596149,"R",0,"R",0,"R",0,"R",0,"R",0,"R",41596149,"R",17101084,"R",12094186,"Z",0,"Z",0,"Z",0,"Z",0,"R",3286189,"R",1893180,"R",2918417,"R",2024889,"R",6834766,"R",2989615,"R",3060194,"R",522248,"R",222263,"Z",0,"Z",0,"Z",0,"Z",0,"R",3468966,"R",0,"R",37191864,"R",19224133,"R",6308098,"R",1815969,"R",1181053,"R",354043,"R",8308568,1 ,"R",2000000,"R",25648000,"R",2915000,"R",4917058,"R",926892,"R",15697619,"R",1214198,"R",1010391,"R",5562854,"R",144912,"R",48000,"R",0,"R",0,"R",1089330,"R",6845096,"R",3784902,"R",0,"R",3784902,"R",3060194,1 ,"R",3855735,"R",4271684
100830,"R",22308640,"R",102604424,"R",57450575,"R",160054999,"R",182363639,"R",17094090,"R",180409,"R",29827031,"R",30007440,"R",132447,"R",168353352,"R",168485799,"R",198493239,"R",8759309,"R",16438846,"R",29986826,"R",5243935,"R",-59464426,"R",-7794819,"R",15199323,"R",7931202,"R",133615396,"R",33455769,"R",341393,"R",190543083,"R",87938659,"R",0,"R",0,"R",95368887,"R",90865574,"R",4503313,"R",-12298132,"R",0,"R",-7794819,"R",39267930,"R",1065556,"R",3348556,"R",233362,"R",77250,"R",156112,"R",9769436,"R",0,"R",2151550,"R",0,"R",1129463,"R",56965853,"R",0,"R",25598839,"R",0,"R",10837659,"R",0,"R",0,"R",916311,"R",1034488,"R",0,"R",38387297,"R",95353150,"R",0,"R",6652,"R",9085,"R",0,"R",15737,"R",95368887,"R",30454417,"R",21689567,"R",444565,"R",244452,"R",4404198,"R",2114151,"R",4496303,"R",3047992,"R",7786835,"R",4546344,"R",14209874,"R",6139418,"R",3416324,"R",8233122,"R",1186155,"R",0,"R",0,"R",0,"R",0,"R",17419936,"R",1205642,"R",90865574,"R",40173721,"R",14028818,"R",6702259,"R",5035025,"R",3978232,"R",20947519,1 ,"R",916702,"R",58575074,"R",5477100,"R",12293006,"R",1437823,"R",27257840,"R",3282209,"R",4801084,"R",10837659,"R",207724,"R",76693,"R",0,"R",995307,"R",7551141,"R",19668524,"R",14226324,"R",2025876,"R",16252200,"R",3416324,1 ,"R",51897574,"R",51120949
100858,"R",516461513,"R",1719254295,"R",1268962620,"R",2988216915,"R",3504678428,"R",232032672,"R",37277185,"R",415688402,"R",452965587,"R",860684303,"R",1040507548,"R",1901191851,"R",2354157438,"R",100666165,"R",1272759802,"R",212011420,"R",24618360,"R",-227502085,"R",1281887497,"R",174676624,"R",272598548,"R",1971078843,"R",449402807,"R",68031058,"R",2935787880,"R",1099281070,"R",0,"R",2940827,"R",1228397373,"R",1153118880,"R",75278493,"R",1206609004,"R",0,"R",1281887497,"R",480777264,"R",98506595,"R",13493197,"R",19952982,"R",2561362,"R",17391620,"R",151420556,"R",0,"R",48772088,"R",0,"R",27647088,"R",840569770,"R",0,"R",247330016,"R",0,"R",16750081,"R",0,"R",0,"R",48032814,"R",60141061,"R",0,"R",372253972,"R",1212823742,"R",0,"R",15125719,"R",447912,"R",0,"R",15573631,"R",1228397373,"R",252146479,"R",135023134,"R",208187924,"R",107060002,"R",108466171,"R",49444159,"R",134846851,"R",82150003,"R",40706539,"R",19937732,"R",89204046,"R",59227365,"R",20255248,"R",203571422,"R",55360689,"R",0,"R",0,"R",0,"R",0,"R",95734200,"R",0,"R",1153118880,"R",508203084,"R",194293333,"R",114819487,"R",73940389,"R",31231115,"R",230631472,1 ,"R",65652113,"R",629089245,"R",62730900,"R",134051571,"R",30082087,"R",353758139,"R",37745403,"R",54345357,"R",16750081,"R",870225,"R",0,"R",0,"R",55031173,"R",77561811,"R",150213290,"R",122580580,"R",7377462,"R",129958042,"R",20255248,1 ,"R",771403829,"R",774534709
