UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",3195000,"R",0,"R",1748909,"R",0,"R",429000,"R",0,"R",2766000,"R",3195000,"R",0,"R",1550990,"R",719757,"R",0,"R",21462,"R",2292209,"R",543300,"R",1748909,"R",8262500,"R",8903500,"R",0,"R",-641000,"R",496000,"R",2911000,"R",0,"R",2766000,"R",1310777,"R",1979075,"R",34630,"R",34630,"R",0,"R",710514,"R",4034996,"R",0,"R",0,"R",0,"R",4817068,"R",3289852,"R",0,"R",3289852,"R",34630,"R",0,"R",34630,"R",0,"R",0,"R",0,"R",0,"R",0,"R",120950,"R",0,"R",0,"R",8262500,"R",2786544,"R",1838011,"R",0,"R",0,"R",0,"R",0,"R",502055,"R",352809,"R",1064566,"R",716239,"R",4391895,"R",346435,"R",158440,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8903500,"R",3253494,"R",619512,"R",1452576,"R",442627,"R",0,"R",3135291,"R",0,"R",0, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",384247,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",384247,"Z",0,"Z",0,"Z",0,"R",697022,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6423,"R",109625,"A",,"A",,"R",0,"R",813070,"R",281292,"R",240182,"R",0,"R",0,"R",0,"R",0,"R",11474,"R",872,"R",17890,"R",1676,"R",296089,"R",46650,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",606745,"R",289380,"R",13611,"R",137969,"R",18241,"R",180,"R",147364,"A",,"A",,-2
102845,"R",44521062,"R",0,"R",2519263,"R",3473191,"R",5364650,"R",0,"R",39156412,"R",44521062,"R",0,"R",8912679,"R",7983055,"R",24941,"R",0,"R",16920675,"R",14401412,"R",2519263,"R",51959639,"R",48897856,"R",-532808,"R",2528975,"R",0,"R",36627437,"R",0,"R",39156412,"R",13807145,"R",618167,"R",1577458,"R",1126566,"R",450892,"R",5985345,"R",21988115,"R",5985345,"R",0,"R",5985345,"R",51796453,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",163186,"R",0,"R",0,"R",0,"R",0,"R",51959639,"R",16608738,"R",6874341,"R",0,"R",0,"R",0,"R",0,"R",1964469,"R",1315757,"R",17558097,"R",8046085,"R",10243360,"R",3560856,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2523192,"R",101763,"R",48897856,"R",19898802,"R",3532337,"R",5230580,"R",1293692,"R",0,"R",18942445,"R",0,"R",0, 1
103501,"R",4984183,"R",1732669,"R",2660520,"R",0,"R",1960171,"R",902042,"R",3024012,"R",4984183,"R",450000,"R",2775507,"R",627936,"R",0,"R",968186,"R",4821629,"R",2161109,"R",2660520,"R",4875437,"R",4717825,"R",0,"R",157612,"R",0,"R",3222405,"R",-356005,"R",3024012,"R",1316729,"R",172672,"R",498244,"R",498244,"R",0,"R",5000,"R",1992645,"R",0,"R",0,"R",0,"R",4715127,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96477,"R",63833,"R",0,"A",,"R",0,"R",4875437,"R",1970558,"R",943630,"R",0,"R",0,"R",0,"R",0,"R",2204149,"R",988833,"R",244115,"R",150228,"R",299003,"R",19586,"Z",0,"R",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",4717825,"R",2102277,"R",126438,"R",8465,"R",0,"R",0,"R",2480645,"A",,"A",,-2
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",534057,"R",9450,"R",40600,"R",40600,"R",0,"R",20650,"R",604757,"R",0,"R",0,"R",0,"R",1142941,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",99633,"A",,"A",,"R",232503,"R",1475077,"R",1025153,"R",270431,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56493,"R",48470,"R",177466,"R",59570,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1259112,"R",378471,"R",62644,"R",379547,"R",18190,"R",0,"R",420260,"A",,"A",,-2
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6352926,"R",163125,"R",480649,"R",480649,"R",0,"R",117715,"R",7114415,"R",117715,"R",0,"R",117715,"R",21133955,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2154733,"A",,"R",0,"R",23288688,"R",7789096,"R",6151636,"R",0,"R",0,"R",0,"R",0,"R",10054144,"R",733785,"R",3360437,"R",2223497,"R",3471489,"R",88932,"R",1200466,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",25875632,"R",9197850,"R",2182652,"R",2692019,"R",499380,"R",0,"R",11303731,"A",,"A",,-2
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",212635,"R",4546,"R",3018,"R",0,"R",3018,"R",490,"R",220689,"R",0,"R",0,"R",0,"R",578916,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56819,"A",,"A",,"R",0,"R",635735,"R",73634,"R",73634,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",41156,"R",41156,"R",302955,"R",125000,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",417745,"R",239790,"R",0,"R",0,"R",0,"R",0,"R",177955,"A",,"A",,-2
103963,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2414317,"R",64540,"R",9403,"R",9403,"R",0,"R",0,"R",2488260,"R",0,"R",0,"R",0,"R",11423138,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",16591,"R",11439729,"R",4211057,"R",2157389,"R",0,"R",0,"R",0,"R",0,"R",622250,"R",455038,"R",715197,"R",503390,"R",604069,"R",417753,"A",,"A",,"R",0,"A",,"A",,"R",2793648,"R",0,"R",8946221,"R",3533570,"R",670563,"R",774529,"R",39875,"R",207,"R",3927477,"A",,"A",,-2
104090,"R",15223396,"R",0,"R",2334002,"R",1500496,"R",9278785,"R",712335,"R",5944611,"R",15223396,"R",0,"R",712335,"R",2334002,"R",0,"R",5894202,"R",8940539,"R",6606537,"R",2334002,"R",34325029,"R",30030538,"R",-2867656,"R",1426835,"R",450000,"R",5170625,"R",-1102849,"R",5944611,"R",10082253,"R",139522,"R",0,"R",0,"R",0,"R",2628888,"R",12850663,"R",0,"R",0,"R",0,"R",34325029,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34325029,"R",11288000,"R",8032500,"R",0,"Z",0,"R",0,"Z",0,"R",6195819,"R",3751842,"R",461000,"R",204623,"R",10195087,"R",258941,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1890632,"R",0,"R",30030538,"R",12247906,"Z",0,"R",3902805,"R",1195347,"R",280846,"R",12403634,"R",0,"R",0, 3
104391,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",191852,"R",0,"R",0,"R",0,"R",0,"R",0,"R",191852,"R",0,"R",0,"R",0,"R",452934,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39683,"A",,"A",,"R",1061,"R",493678,"R",259801,"R",204957,"R",0,"R",0,"R",0,"R",0,"R",72129,"R",17188,"R",34128,"R",33801,"R",71249,"R",33981,"A",,"A",,"R",0,"A",,"A",,"R",54336,"R",0,"R",491643,"R",289927,"R",0,"R",56568,"R",30663,"R",7114,"R",107371,"A",,"A",,-2
